eps,unf_train_0masks,unf_train_10masks,unf_train_30masks,unf_test_0masks,unf_test_10masks,unf_test_30masks
0.0,0.2096102007077484,0.2096102007077484,0.2096102007077484,0.2114331424547263,0.2114331424547263,0.2114331424547263
0.1,0.2096102007077484,0.2096102007077484,0.2096102007077484,0.2114331424547263,0.2114331424547263,0.2114331424547263
0.3,0.2096102007077484,0.2096102007077484,0.2096102007077484,0.2114331424547263,0.2114331424547263,0.2114331424547263
0.4,0.2096102007077484,0.2096102007077484,0.2096102007077484,0.2114331424547263,0.2114331424547263,0.2114331424547263
0.5,0.2096102007077484,0.2096102007077484,0.2096102007077484,0.2114331424547263,0.2114331424547263,0.2114331424547263
0.6,0.2096102007077484,0.2096102007077484,0.2096102007077484,0.2114331424547263,0.2114331424547263,0.2114331424547263
0.7,0.2096102007077484,0.2096102007077484,0.2096102007077484,0.2114331424547263,0.2114331424547263,0.2114331424547263
0.705,0.2096102007077484,0.2096102007077484,0.2096102007077484,0.2114331424547263,0.2114331424547263,0.2114331424547263
0.71,0.2096102007077484,0.2096102007077484,0.20278430929192945,0.2114331424547263,0.2114331424547263,0.2061004654788106
0.715,0.2096102007077484,0.2096102007077484,0.20278430929192945,0.2114331424547263,0.2114331424547263,0.2061004654788106
0.72,0.2096102007077484,0.2096102007077484,0.20278430929192945,0.2114331424547263,0.2114331424547263,0.2061004654788106
0.725,0.2096102007077484,0.20278430929192945,0.20278430929192945,0.2114331424547263,0.2061004654788106,0.2061004654788106
0.73,0.2096102007077484,0.20278430929192945,0.20278430929192945,0.2114331424547263,0.2061004654788106,0.2061004654788106
0.735,0.2096102007077484,0.20278430929192945,0.20278430929192945,0.2114331424547263,0.2061004654788106,0.2061004654788106
0.74,0.2096102007077484,0.20278430929192945,0.20286424216019536,0.2114331424547263,0.2061004654788106,0.20676233187595436
0.745,0.2096102007077484,0.20278430929192945,0.19656571525440505,0.2114331424547263,0.2061004654788106,0.1979667388215336
0.75,0.2096102007077484,0.20278430929192945,0.19656571525440505,0.2114331424547263,0.2061004654788106,0.1979667388215336
0.755,0.2096102007077484,0.1966989283205032,0.18430496196057836,0.2114331424547263,0.1987916241440184,0.18401296667023526
0.76,0.20278430929192945,0.1966989283205032,0.18430496196057836,0.2061004654788106,0.1987916241440184,0.18401296667023526
0.765,0.20278430929192945,0.19034641241570371,0.18412781837817926,0.2061004654788106,0.19312581606223825,0.18499208940496129
0.77,0.20278430929192945,0.1838168247414794,0.17142697143556576,0.2061004654788106,0.18733434460210494,0.1722102843174244
0.775,0.20278430929192945,0.1710210090644355,0.16484974979604627,0.2061004654788106,0.17370945196688206,0.16671911833947853
0.78,0.20278430929192945,0.1710210090644355,0.16438266342959734,0.2061004654788106,0.17370945196688206,0.1688664697240888
0.785,0.19656571525440505,0.1710210090644355,0.16438266342959734,0.1979667388215336,0.17370945196688206,0.1688664697240888
0.79,0.19656571525440505,0.16801229485920546,0.15547219892613887,0.1979667388215336,0.16689724079695242,0.16110059990884493
0.795,0.19039034293200455,0.16801229485920546,0.15035757739144112,0.19132180800502746,0.16689724079695242,0.1600890602282549
0.8,0.18430496196057836,0.16135593641516865,0.14759914856986672,0.18401296667023526,0.17031595533095212,0.1508916913377911
0.805,0.18430496196057836,0.15165919638741304,0.13281675417729166,0.18401296667023526,0.15504572354980714,0.12265994759362235
0.81,0.1710210090644355,0.15190366057690202,0.13281675417729166,0.17370945196688206,0.15485768115172452,0.12265994759362235
0.815,0.17085779675880844,0.14383065007661205,0.12969078075550072,0.174608044268403,0.14900345833233944,0.12210812280395485
0.82,0.16484974979604627,0.14383065007661205,0.12536626279785062,0.16671911833947853,0.14900345833233944,0.11404266981228052
0.825,0.15986822388382932,0.15197089306596873,0.10975190648772506,0.16502627371625495,0.1576311303136593,0.11239158845642712
0.83,0.15547219892613887,0.13265893927743191,0.10912917611578768,0.16110059990884493,0.13559445939926754,0.12557959794367893
0.835,0.15547219892613887,0.12983886407857495,0.1103363623268068,0.16110059990884493,0.1255072280993277,0.10988450898990812
0.84,0.1536477901408131,0.1259057907385133,0.10494513787893382,0.17140546742056367,0.13083067558706765,0.10819576450065801
0.845,0.14983478760208727,0.10868519999750216,0.096660804774291,0.1653505910615259,0.11876829695885135,0.10882629778155804
0.85,0.13790680710734474,0.1030631801147962,0.09103878489158504,0.12735691332167892,0.10838400289034672,0.09844200371305342
0.855,0.13397373376728308,0.1030631801147962,0.08817765768845016,0.13268036080941886,0.10838400289034672,0.0884604069781589
0.86,0.13397373376728308,0.09103878489158504,0.08817765768845016,0.13268036080941886,0.09844200371305342,0.0884604069781589
0.865,0.1250417635562227,0.09528090832550204,0.08876081331501884,0.12862342404561128,0.09423071711217956,0.08965373436266158
0.87,0.12143318945778897,0.08825903622580833,0.08876687897548287,0.11936611730002047,0.08219984390063131,0.08841831925508993
0.875,0.10770500240819987,0.08825903622580833,0.07046590240582425,0.10915481081784537,0.08219984390063131,0.08142919063067408
0.88,0.10436068203985208,0.08799558782033254,0.07203838056618453,0.11070284396717699,0.08881381149193182,0.08893462651497741
0.885,0.10436068203985208,0.08799558782033254,0.06333990205879496,0.11070284396717699,0.08881381149193182,0.08404982098839335
