acc_train,unf_train
0.6726718897138427,0.07228465214889415
0.6723400575261206,0.07221496847732027
0.6709653241769857,0.07168955594120141
0.6705386827927715,0.06831980418897066
0.6700646368103111,0.06756578782683073
0.6680736436839779,0.06602603241457079
0.6675047885050256,0.06522623575270514
0.6553688517174502,0.05712370002489755
0.6535673758363096,0.04956117181105728
0.6524295306146829,0.04952219837380774
0.6493953441222062,0.044773204242507934
0.6434687578635383,0.040975839960104614
0.6428524081771921,0.04019725430008052
0.6409560669063421,0.03754775153138308
0.638396184885126,0.03660053259144682
0.6364522929136645,0.0364286326053815
0.6330386448623497,0.03026086888186557
0.6301464361530977,0.029429529921484662
0.6192892659378855,0.025788478347559932
0.5999931893820443,0.016756421396692308
0.5889467491717962,0.011650155739424585
0.580933787419485,0.009673029641284027
0.5688901648495467,0.008952576645387355
0.5573212401033911,0.006540478531912863
0.5509675179601953,0.0033189960289743197
0.5451367523759336,0.0005178755807950351
0.5291101995072754,0.0
