epsilon,train_sample_robustness_0masks,train_sample_robustness_10masks,train_sample_robustness_30masks,trivial_nb_0masks,trivial_nb_10masks,trivial_nb_30masks
0.902,0.0016858591144979535,0.01012921012794634,0.01585438967235311,0,0,0
0.904,0.0014190354545755947,0.008882806978374867,0.01604634256759338,0,0,0
0.906,0.001692874160394942,0.008256550296500017,0.021327147810902725,0,0,0
0.908,0.0012495564712852437,0.009235918837783907,0.021423842291494445,0,0,0
0.91,0.0012514280988752818,0.009781528192583249,0.020527673496498127,0,0,0
0.912,0.0008990047907885598,0.011410432596845497,0.019000134720208672,0,0,0
0.914,0.0016924281533042512,0.011497642203311679,0.019173294598205673,0,0,0
0.916,0.0016966035977529748,0.011666421996013945,0.02189195346209111,0,0,0
0.918,0.0014322514924343627,0.0107645464846038,0.023330927486155045,0,0,0
0.92,0.001702732687590339,0.010140638282388873,0.022253519409397616,0,0,0
0.922,0.0018804520281775696,0.008434792329945321,0.021355200991659763,0,0,0
0.924,0.0012566207859241519,0.008434249883270234,0.02725615024108078,0,0,0
0.926,0.0007174088523359027,0.012584080636516459,0.027444756167593325,0,0,0
0.928,0.00089908635669075,0.012134726087534022,0.024482900995789765,0,0,0
0.93,0.001435989867479633,0.010965245433620706,0.021893382146858674,0,0,0
0.932,0.0007190262961438829,0.01874078731672583,0.02117853029487885,0,0,0
0.934,0.0022369997855958947,0.02215203469149999,0.024859645119973232,0,0,0
0.936,0.0014394335499858751,0.021347657324748456,0.026493442638610514,0,0,0
0.938,0.000628732842419278,0.019387833275727726,0.031035233321712596,0,0,0
0.94,0.001523767103799253,0.01813227078954894,0.029959044523029978,0,0,0
0.942,0.0014357859527241573,0.016876222239418908,0.028702187250995954,0,0,0
0.944,0.00107894610813816,0.016433300836761568,0.02814890516875317,0,0,0
0.946,0.004297661504251405,0.017328204288294104,0.027071907648166554,0,0,0
0.948,0.006270977859907207,0.01589424457426821,0.02626809791126846,0,0,0
0.95,0.005916324815357827,0.015341730430978317,0.025997443042372455,0,0,0
0.952,0.005023558193826124,0.01751895050437833,0.024917442514339066,0,0,0
0.954,0.004914769843351009,0.01696562763918445,0.02436578248184495,0,0,0
0.956,0.006982193859344584,0.021579180428056084,0.025008701489456157,0,0,0
0.958,0.006902313019040896,0.020867326977582347,0.02167415677388104,0,0,0
0.96,0.005289874511265699,0.01906769174060055,0.021740076270755554,0,0,0
0.962,0.004754837021841511,0.015652988641466643,0.013007342764112417,0,0,0
0.964,0.003938616363332621,0.016072254305588465,0.012110405304072671,0,0,0
0.966,0.0108100797880966,0.016342278854387982,0.01348523587262893,0,0,0
0.968,0.009373930394468608,0.014816885820989925,0.0149002444150721,0,0,0
0.97,0.00802377666126321,0.013110346736080048,0.00987421388581447,0,0,0
0.972,0.007997940180812825,0.011854097876850555,0.010865856004046876,0,0,0
0.974,0.006471497333460226,0.013308644056844962,0.008242713851719988,0,0,0
0.976,0.007547803899852124,0.0072838680133434485,0.008336775098084653,0,0,0
0.978,0.010060481819027247,0.006659434213908298,0.009055875474624563,0,0,0
0.98,0.008446462044454484,0.00701666268257648,0.0074427491416175886,0,0,0
0.981,0.007728003378164037,0.007193916891016429,0.007885862641777684,0,0,0
0.982,0.006920019197101885,0.0067458525219485505,0.008600868687874652,0,0,0
0.983,0.006112035016039729,0.006648176701572977,0.008152804318806774,0,0,0
0.984,0.00548386980347389,0.006200112332505099,0.007077555802762789,0,0,0
0.985,0.004766219859087434,0.00575204796343722,0.005922954019407995,0,0,0
0.986,0.0062718909579598916,0.0053061324910203475,0.00555865484820952,0,0,0
0.987,0.007530487321361312,0.005301467376964357,0.004750470358047908,0,0,0
0.988,0.006634358583225558,0.0039504684706504305,0.005019083079373451,0,0,0
0.989,0.005826374402163404,0.004225278578281736,0.004387588321557954,0,0,0
