acc_train,unf_train
0.8188887603445666,0.06592531809838273
0.8181148151649384,0.06473713457578745
0.8175546250337508,0.06252257369018635
0.8169944422372593,0.05814844344322636
0.816692228037299,0.05626133588575735
0.816478466197473,0.055954330213807836
0.8163752710981781,0.053787958806207126
0.8162941892926581,0.05309960957890216
0.8158887903163082,0.051987923212350594
0.8149600528952204,0.048647156835080106
0.8137290996442399,0.04719137387447224
0.8125571320192951,0.046174490276586336
0.8118863724310224,0.04027922768429428
0.8118421474734046,0.0396067240626601
0.8110018705621134,0.037753735499402016
0.8104121941376377,0.036718899042938055
0.8084662758999561,0.034925905535034184
0.8069847126542207,0.033577508580872564
0.805805368226587,0.031946002917745166
0.8042943371601312,0.029701372802846723
0.8028643759463574,0.02690252497572218
0.8013238390274242,0.025369729936876518
0.7995769363588876,0.023846170182788
0.797940574080307,0.02153220229624936
0.7971739942938401,0.02030900871683876
0.794911146554234,0.018042883802910085
0.7932010939422145,0.016492692119682534
0.7919185560452183,0.015318712897200082
0.7907834148427698,0.01458965520884821
0.7880119442320453,0.012461926966482056
0.78650091669711,0.0113616944976408
0.7855721838941641,0.010821166411859972
0.7836041417681465,0.009507034493881949
0.7810906345925006,0.008621570655256778
0.780847397325603,0.008249607596764425
0.7796975451676766,0.00710617643551148
0.7789235915667305,0.0056128433022027
0.7771693006859781,0.005001300815584153
0.7758941069930213,0.004243070745267164
0.7758867361667516,0.0038736274960580407
0.775230732628755,0.0038208785930776367
0.7750169786669359,0.003631350306932854
0.7748327080101953,0.003271720311106638
0.7746558081797243,0.0030839328476273877
0.7737491908437968,0.0028543930577095977
0.7735206952294384,0.0028008575186183075
0.7730637010125122,0.0019357161685787856
0.7728204637456144,0.0015938012820055302
0.7727099013515701,0.0013531253564853464
0.7726877888727612,0.0013155849394266448
0.7712946641327337,0.0008936831255237365
0.7691054972186275,0.0007337889925932053
0.7683905140310142,0.0006451599488419378
0.7669162944460071,0.0006205438983976589
0.7657885536802678,0.00047025327021123225
0.7543930748016132,0.00016285394733455137
0.7519827885325265,0.0
