Mode,epsilon,Training error,Training violation,Test error,Test violation,Training error STD,Training violation STD,Test error STD,Test violation STD,nbseeds
0,0.8,0.122,0.073,0.144,0.071,0.0016,0.004,0.0012,0.0038,100
1,0.8,0.141,0.0,0.155,0.006,0.0028,0.0023,0.0014,0.0061,100
2,0.8,0.134,-0.0,0.157,0.004,0.0064,0.0032,0.0023,0.0077,100
3,0.8,0.143,-0.001,0.155,-0.003,0.0019,0.002,0.0015,0.0026,100
4,0.8,0.148,-0.002,0.156,-0.003,0.0018,0.0025,0.0015,0.0028,100
5,0.8,0.151,-0.002,0.157,-0.003,0.0021,0.0033,0.0017,0.0038,100
