Mode,epsilon,Training error,Training violation,Test error,Test violation,Training error STD,Training violation STD,Test error STD,Test violation STD,nbseeds
0,0.8,0.122,0.072,0.144,0.071,0.0017,0.0039,0.0012,0.0035,100
1,0.8,0.141,0.0,0.154,0.009,0.0022,0.0009,0.0012,0.0037,100
2,0.8,0.132,-0.002,0.158,0.004,0.0033,0.0027,0.0019,0.0089,100
3,0.8,0.14,-0.003,0.156,0.003,0.001,0.0022,0.0011,0.0057,100
4,0.8,0.14,-0.004,0.157,-0.001,0.0009,0.0031,0.0014,0.006,100
5,0.8,0.14,-0.003,0.157,-0.001,0.001,0.0032,0.0013,0.0067,100
