Mode,epsilon,Training error,Training violation,Test error,Test violation,Training error STD,Training violation STD,Test error STD,Test violation STD,nbseeds
0,0.0,0.058,0.0071,0.102,0.0161,0.00143,0.00229,0.00212,0.00433,100
1,0.0,0.081,0.0,0.099,0.0073,0.00318,0.00011,0.00123,0.00195,100
2,0.0,0.075,0.0,0.105,0.0042,0.00733,0.0,0.0026,0.00194,100
3,0.0,0.089,0.0,0.101,0.0057,0.00177,0.0,0.00116,0.00149,100
4,0.0,0.114,0.0,0.115,0.0009,0.0035,0.0,0.00309,0.00068,100
5,0.0,0.117,0.0,0.117,0.0003,0.00078,0.0,0.0006,0.00056,100
