Mode,epsilon,Training error,Training violation,Test error,Test violation,Training error STD,Training violation STD,Test error STD,Test violation STD,nbseeds
0,0.0,0.058,0.0071,0.102,0.0161,0.00143,0.00229,0.00212,0.00433,100
1,0.0,0.073,0.0001,0.099,0.0096,0.0025,0.00037,0.00125,0.00214,100
2,0.0,0.078,0.0005,0.102,0.0041,0.00608,0.00063,0.00405,0.0019,100
3,0.0,0.074,0.0001,0.099,0.0091,0.00305,0.0003,0.00112,0.00195,100
4,0.0,0.076,0.0,0.099,0.0083,0.00275,0.00021,0.00141,0.00184,100
5,0.0,0.078,0.0,0.1,0.0082,0.00289,0.0,0.00111,0.00189,100
