Mode,epsilon,Training error,Training violation,Test error,Test violation,Training error STD,Training violation STD,Test error STD,Test violation STD,nbseeds
0,1.05,0.26483792936623124,0.042632879112322344,0.32982335623159964,0.06420389618508014,0.0044979371787361175,0.008044703437261052,0.00465516856095173,0.00846880829722262,100
1,1.05,0.2626107533663766,-0.004383827047098125,0.33041779345532307,0.01944094056496621,0.004284665316287246,0.003258729759951551,0.005377770795441849,0.007356934219979513,100
2,1.05,0.2344964845794372,0.0006517164271558957,0.35303482723868,0.00487953912154005,0.01354343927113793,0.005003718608485159,0.00920403701237773,0.010399208433942483,100
3,1.05,0.2612007066748648,-0.00849275536406679,0.3355920519605975,0.014286710411642513,0.003063298923933055,0.00443435315844317,0.004734779811091812,0.0068175163672489335,100
4,1.05,0.26124334784712155,-0.009050290187811807,0.3369872423945045,0.01468387069348073,0.0030505782189889983,0.004542413524471453,0.00456175646950998,0.007999465887312044,100
5,1.05,0.2615626511852927,-0.009129400324411398,0.3374975466143278,0.01326787137906073,0.0027239948300612302,0.004017535243078244,0.004548436765063685,0.006799978553127763,100
