Mode,epsilon,Training error,Training violation,Test error,Test violation,Training error STD,Training violation STD,Test error STD,Test violation STD,nbseeds
0,0.5,0.171,0.141,0.181,0.164,0.002,0.0137,0.0032,0.0162,100
1,0.5,0.183,-0.002,0.193,0.03,0.0058,0.0065,0.0035,0.0182,100
2,0.5,0.182,-0.001,0.204,0.011,0.0059,0.0078,0.0057,0.02,100
3,0.5,0.185,-0.017,0.197,0.016,0.0048,0.0159,0.005,0.0217,100
4,0.5,0.188,-0.035,0.202,0.001,0.0056,0.0211,0.0063,0.0242,100
5,0.5,0.19,-0.041,0.205,-0.005,0.0061,0.0206,0.0068,0.0246,100
