Mode,epsilon,Training error,Training violation,Test error,Test violation,Training error STD,Training violation STD,Test error STD,Test violation STD,nbseeds
0,0.5,0.171,0.141,0.181,0.164,0.002,0.0137,0.0032,0.0162,100
1,0.5,0.18,-0.001,0.192,0.035,0.004,0.0032,0.0032,0.0169,100
2,0.5,0.18,0.001,0.203,0.012,0.0052,0.0031,0.005,0.0186,100
3,0.5,0.18,-0.002,0.192,0.035,0.0032,0.0044,0.0033,0.0161,100
4,0.5,0.18,-0.002,0.193,0.035,0.003,0.0054,0.0034,0.0169,100
5,0.5,0.18,-0.002,0.193,0.035,0.0025,0.0047,0.0033,0.0152,100
