Mode,epsilon,Training error,Training violation,Test error,Test violation,Training error STD,Training violation STD,Test error STD,Test violation STD,nbseeds
0,1.05,0.265,0.043,0.33,0.064,0.0045,0.008,0.0047,0.0085,100
1,1.05,0.263,-0.004,0.33,0.019,0.0043,0.0033,0.0054,0.0074,100
2,1.05,0.234,0.001,0.353,0.005,0.0135,0.005,0.0092,0.0104,100
3,1.05,0.261,-0.008,0.336,0.014,0.0031,0.0044,0.0047,0.0068,100
4,1.05,0.261,-0.009,0.337,0.015,0.0031,0.0045,0.0046,0.008,100
5,1.05,0.262,-0.009,0.337,0.013,0.0027,0.004,0.0045,0.0068,100
