acc_train,unf_train,error_train,masks
0.6726718897138427,0.21184781049965995,0.32732811028615727,no mask
0.6708704587872761,0.2100422052820546,0.32912954121272386,no mask
0.6691161065382943,0.2007582361289965,0.33088389346170566,no mask
0.6685471164956202,0.19201425275024803,0.33145288350437985,no mask
0.6678360475219297,0.1904906120464386,0.3321639524780703,no mask
0.6664138084267573,0.1828183838160196,0.33358619157324265,no mask
0.6657026720212059,0.17563721346952427,0.3342973279787941,no mask
0.6648018273135226,0.17401858999238962,0.33519817268647745,no mask
0.6640432188778641,0.16577958635261308,0.3359567811221359,no mask
0.6630001154208686,0.16227166467068352,0.33699988457913144,no mask
0.6622415519397843,0.15865412435627152,0.3377584480602157,no mask
0.6612460328993306,0.15694360412323374,0.3387539671006694,no mask
0.6599185805233634,0.1474497191693464,0.3400814194766366,no mask
0.6595866809037803,0.1451754225677867,0.34041331909621975,no mask
0.6584961616098952,0.14230862636473826,0.3415038383901048,no mask
0.6571211810106036,0.13724068417737145,0.34287881898939643,no mask
0.6548929064042398,0.13295204739579408,0.3451070935957602,no mask
0.652285327580047,0.12610419083393565,0.347714672419953,no mask
0.6507207398264148,0.12061953423639535,0.34927926017358524,no mask
0.6501517610223839,0.1162785419703836,0.3498482389776161,no mask
0.6494880067377915,0.11044920287854937,0.3505119932622085,no mask
0.6472598894724367,0.1085961224709382,0.35274011052756327,no mask
0.6447470524128749,0.10382938486510626,0.3552529475871251,no mask
0.6417602929959313,0.09784532318369424,0.3582397070040687,no mask
0.6385361509511658,0.0957840501414756,0.3614638490488342,no mask
0.6377775537541508,0.09377397785902616,0.3622224462458492,no mask
0.6374931149260312,0.09122308960373747,0.3625068850739688,no mask
0.6366870794148398,0.08977667012050307,0.3633129205851602,no mask
0.6358335943508284,0.08884158603685484,0.3641664056491716,no mask
0.6349327945977189,0.08272933758862945,0.3650672054022811,no mask
0.6346957378905583,0.08077971130554656,0.36530426210944167,no mask
0.633937084500326,0.07938615754051595,0.36606291549967396,no mask
0.6333680944576517,0.07770267119627781,0.36663190554234826,no mask
0.6309977633975589,0.07527679565980742,0.36900223660244114,no mask
0.630476279100922,0.0741095694395402,0.36952372089907803,no mask
0.6276787672017272,0.07114435942671196,0.3723212327982728,no mask
0.627252035908365,0.06889567365844136,0.372747964091635,no mask
0.6241704335789988,0.06684595470634856,0.3758295664210012,no mask
0.6235541400858698,0.0659195085637592,0.37644585991413015,no mask
0.622463598314698,0.06188248315200715,0.377536401685302,no mask
0.6223687891182059,0.060359253906005626,0.3776312108817941,no mask
0.6216102593530519,0.05881005026405175,0.3783897406469481,no mask
0.6212784271653298,0.058032384973537736,0.37872157283467023,no mask
0.6193343778528594,0.05515974076535479,0.3806656221471406,no mask
0.6157315272383698,0.05044783597275772,0.38426847276163023,no mask
0.6150203795941749,0.0488144199893651,0.3849796204058251,no mask
0.6146410753763456,0.04631293015691357,0.3853589246236544,no mask
0.6115116301416372,0.04495470504868846,0.38848836985836277,no mask
0.60909354608535,0.04417215044930817,0.39090645391464995,no mask
0.6081928137641015,0.04269467917455624,0.3918071862358985,no mask
0.6069125861680844,0.04114337872352121,0.3930874138319156,no mask
0.6053952793876198,0.04033198096213576,0.39460472061238017,no mask
0.5999901774255887,0.036623137002976563,0.4000098225744113,no mask
0.5991841081984668,0.034808772328677295,0.4008158918015332,no mask
0.5988522422948142,0.032994470406300484,0.40114775770518585,no mask
0.5982833871158618,0.030155054294020118,0.4017166128841382,no mask
0.5978092287469666,0.02784455742915105,0.4021907712530334,no mask
0.5973351153326454,0.026931833267856132,0.4026648846673546,no mask
0.5957706399654479,0.0236519679433174,0.4042293600345521,no mask
0.5956283924547794,0.022914229734530108,0.4043716075452206,no mask
0.5866206983670589,0.019367355194471046,0.4133793016329411,no mask
0.5844870419002478,0.015974057068570423,0.4155129580997522,no mask
0.5831596457174979,0.010673371976592159,0.4168403542825021,no mask
0.5829225665330504,0.0105748841558308,0.4170774334669496,no mask
0.5826854873486029,0.00992205717569058,0.4173145126513971,no mask
0.5809785172205801,0.009044976581829256,0.41902148277941986,no mask
0.5805043588516849,0.008166409993822454,0.41949564114831506,no mask
0.5790344679081096,0.007053313350869772,0.42096553209189036,no mask
0.5788448495151256,0.006882338639583885,0.4211551504848744,no mask
0.5778966564024136,0.005097924088183536,0.4221033435975864,no mask
0.5763793496219489,0.004056257421516862,0.4236206503780511,no mask
0.5762371021112804,0.0036751923953934336,0.42376289788871957,no mask
0.5743883227796852,0.0034370901782920125,0.4256116772203148,no mask
0.5741512997884549,0.002649626884929768,0.4258487002115451,no mask
0.5738193889302284,0.002334143702070345,0.42618061106977156,no mask
0.5734400622351121,0.0018203030466200753,0.4265599377648879,no mask
0.5732978147244436,0.0013326962891589856,0.42670218527555637,no mask
0.5728710721924379,0.0010486053800680684,0.42712892780756206,no mask
0.5726814537994539,0.0008968603117827877,0.4273185462005461,no mask
0.5723022170134856,0.0008456773541293594,0.4276977829865144,no mask
0.5720177219921484,0.0005410482847005959,0.4279822780078516,no mask
0.5708323935017714,0.00030340042896415115,0.4291676064982286,no mask
0.5703109092051346,0.0002498630893588927,0.4296890907948654,no mask
0.5669446994679963,0.00013723759421149228,0.4330553005320037,no mask
0.5291101995072754,0.0,0.47088980049272455,no mask
0.6726718897138427,0.21184781049965995,0.32732811028615727,10 masks
0.6724348105293951,0.2111022484920272,0.32756518947060487,10 masks
0.6698747599285266,0.2020857721265526,0.33012524007147337,10 masks
0.6694480173965209,0.20135254701832744,0.33055198260347907,10 masks
0.6692583652876064,0.1989025300386076,0.3307416347123936,10 masks
0.6690213422963762,0.19729847638363449,0.3309786577036238,10 masks
0.6680732278541687,0.19323370675112933,0.33192677214583133,10 masks
0.6661294932237161,0.18415544806663964,0.33387050677628394,10 masks
0.6652286372773892,0.1803267930535377,0.33477136272261077,10 masks
0.6647544901471374,0.17461817428363974,0.3352455098528626,10 masks
0.6639010612763435,0.170836901759731,0.3360989387236565,10 masks
0.6626209235894743,0.16387388803089942,0.33737907641052567,10 masks
0.6614831457997088,0.16180745214398842,0.3385168542002912,10 masks
0.6606771777203784,0.15335704848464432,0.3393228222796216,10 masks
0.6602504801429465,0.1495737025645462,0.3397495198570535,10 masks
0.6565051797222055,0.1463640305188097,0.34349482027779454,10 masks
0.6551776486757338,0.14596669841911147,0.3448223513242662,10 masks
0.6548457602947941,0.1440258436870959,0.34515423970520587,10 masks
0.6519539336994209,0.1405327164494332,0.3480460663005791,10 masks
0.6503892785139277,0.1312771784101538,0.3496107214860723,10 masks
0.6485403306026801,0.1301025386940393,0.3514596693973199,10 masks
0.6468808549820513,0.11866310135501565,0.3531191450179487,10 masks
0.6459326506306958,0.1161275726795867,0.3540673493693042,10 masks
0.6446525466597571,0.10632710990406898,0.35534745334024287,10 masks
0.6439888148524517,0.1029961198178703,0.35601118514754826,10 masks
0.6422819571108639,0.09764013097604338,0.3577180428891361,10 masks
0.6369243721335138,0.09548843456933052,0.3630756278664862,10 masks
0.6339376913870745,0.08194039523002918,0.36606230861292555,10 masks
0.6281537909461713,0.07740479454300901,0.3718462090538287,10 masks
0.6264942816096121,0.07440488495734285,0.37350571839038793,10 masks
0.6242185462117849,0.07318722745015224,0.37578145378821515,10 masks
0.6230805661264364,0.07089301349456613,0.37691943387356364,10 masks
0.6225116322769795,0.06893265158326753,0.3774883677230205,10 masks
0.6186236010838997,0.06511537008372566,0.3813763989161003,10 masks
0.6167745407862173,0.06364022627885363,0.3832254592137827,10 masks
0.6147831318300748,0.0582258214732071,0.3852168681699252,10 masks
0.6141668720528765,0.05713652157517031,0.38583312794712354,10 masks
0.6126971496889537,0.05405011433866541,0.3873028503110463,10 masks
0.6118911141777624,0.052929554036170265,0.38810888582223757,10 masks
0.6105636280858646,0.04959242547950192,0.3894363719141354,10 masks
0.609520547106156,0.04638239348888508,0.390479452893844,10 masks
0.6075765652255467,0.04518264850309648,0.3924234347744533,10 masks
0.6029777123089332,0.043073633413649816,0.39702228769106684,10 masks
0.6001328182887794,0.03850214377457309,0.3998671817112206,10 masks
