acc_train,unf_train,error_train,masks
0.9060837887067394,0.009290432320554777,0.09391621129326055,no mask
0.9058348512446872,0.008337250782613114,0.09416514875531279,no mask
0.9057255616272007,0.005908269919627807,0.09427443837279925,no mask
0.905464480874317,0.0047182804110147405,0.09453551912568303,no mask
0.9053005464480874,0.0026368890239069076,0.09469945355191256,no mask
0.9052944748026714,0.0023583673750491967,0.09470552519732856,no mask
0.9052580449301758,0.002196275074490983,0.09474195506982419,no mask
0.9052398299939284,0.001911981386321715,0.09476017000607162,no mask
0.9049362477231327,0.001572669300117302,0.09506375227686725,no mask
0.9049301760777172,0.0015202256878130704,0.0950698239222828,no mask
0.9048573163327264,0.0011796681197355553,0.09514268366727363,no mask
0.9045658773527628,0.0005981481030015168,0.09543412264723716,no mask
0.9042987249544628,0.0005454009998018039,0.09570127504553716,no mask
0.9042926533090468,0.0003865303004567444,0.09570734669095315,no mask
0.9040983606557378,0.0002481713761291138,0.09590163934426221,no mask
0.9037037037037036,9.601438089303916e-05,0.09629629629629644,no mask
0.8873345476624165,0.0,0.11266545233758352,no mask
0.9058894960534304,0.011863864915444644,0.09411050394656961,10 masks
0.9054401942926532,0.00722877573876053,0.09455980570734679,10 masks
0.9053309046751672,0.004799794875775221,0.09466909532483281,10 masks
0.9005950212507589,0.002589937447188073,0.09940497874924115,10 masks
0.8914146933819065,0.0018281962441567988,0.10858530661809351,10 masks
0.8883060109289618,0.00036010704551900916,0.11169398907103822,10 masks
0.8873345476624165,0.0,0.11266545233758352,10 masks
0.9058894960534304,0.011863864915444644,0.09411050394656961,30 masks
0.9056162720097148,0.010894832272607593,0.09438372799028516,30 masks
0.9054098360655738,0.008234013969249365,0.09459016393442621,30 masks
0.9053248330297512,0.006797449602334549,0.0946751669702488,30 masks
0.9052580449301758,0.005810790422296442,0.09474195506982419,30 masks
0.9048755312689741,0.0052092435250304285,0.09512446873102587,30 masks
0.9047540983606558,0.00421116962035748,0.09524590163934421,30 masks
0.8915421979356406,0.002251933357168223,0.1084578020643594,30 masks
0.8879781420765027,0.001634514558333544,0.11202185792349728,30 masks
0.8873345476624165,0.0,0.11266545233758352,30 masks
