Method,Train SR.,Train Acc.,Test Acc.,Train Unf.,Test Unf.
Original,$0.0004 \pm 0.0004$,$0.7822 \pm 0.0037$,$0.2181 \pm 0.0073$,$0.9910 \pm 0.0011$,$0.9873 \pm 0.0087$
val (eps),$0.0199 \pm 0.0359$,$0.7723 \pm 0.0060$,$0.7707 \pm 0.0077$,$0.9951 \pm 0.0033$,$0.9940 \pm 0.0055$
val (train unf),$0.0347 \pm 0.0641$,$0.7685 \pm 0.0056$,$0.7676 \pm 0.0054$,$0.9949 \pm 0.0029$,$0.9944 \pm 0.0035$
no val before constant,$0.3217 \pm 0.0011$,$0.2451 \pm 0.0008$,$0.2454 \pm 0.0037$,$0.9953 \pm 0.0004$,$0.0043 \pm 0.0012$
