Method,Train SR.,Train Acc.,Test Acc.,Train Unf.,Test Unf.
Original,$0.0009 \pm 0.0006$,$0.5704 \pm 0.0038$,$0.5686 \pm 0.0125$,$0.0085 \pm 0.0011$,$0.0336 \pm 0.0130$
val (eps),$0.0260 \pm 0.0241$,$0.5512 \pm 0.0190$,$0.5420 \pm 0.0266$,$0.0055 \pm 0.0028$,$0.0163 \pm 0.0214$
val (train unf),$0.2453 \pm 0.3839$,$0.5497 \pm 0.0197$,$0.5412 \pm 0.0281$,$0.0048 \pm 0.0034$,$0.0145 \pm 0.0224$
no val before constant,$0.3617 \pm 0.0228$,$0.5316 \pm 0.0045$,$0.5319 \pm 0.0184$,$0.0031 \pm 0.0003$,$0.0031 \pm 0.0016$
