Method,Train SR.,Train Acc.,Test Acc.,Train Unf.,Test Unf.
Original,$0.0002 \pm 0.0001$,$0.8015 \pm 0.0024$,$0.8010 \pm 0.0016$,$0.0098 \pm 0.0002$,$0.0137 \pm 0.0040$
val (eps),$0.0028 \pm 0.0015$,$0.7975 \pm 0.0028$,$0.7977 \pm 0.0042$,$0.0051 \pm 0.0030$,$0.0103 \pm 0.0034$
val (train unf),$0.0030 \pm 0.0017$,$0.7972 \pm 0.0031$,$0.7964 \pm 0.0053$,$0.0050 \pm 0.0029$,$0.0084 \pm 0.0056$
no val before constant,$0.1007 \pm 0.0278$,$0.7818 \pm 0.0010$,$0.7807 \pm 0.0044$,$0.0007 \pm 0.0006$,$0.0017 \pm 0.0012$
