Fold#,Training accuracy,Training Unfairness,Training objective function,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,RL length,RL
0,0.5481270744428639,0.00275974025974024,0.4548729255571361,0.547867298578199,0.006698601861588105,1124698,598217,3,"RULELIST:
 if [juvenile-misdemeanors_>0__AND__juvenile-crimes_>0]: [two_year_recid] = True
else if [not_priors_2-3]: [two_year_recid] = False
else if [juvenile-crimes_=0__AND__charge_degree_Misdemeanor]: [two_year_recid] = False
else [two_year_recid] = True"
1,0.5433854907539118,0.0026478752936152095,0.45961450924608815,0.5630331753554503,0.03299086983100319,1557922,747038,3,"RULELIST:
 if [priors_2-3__AND__age_21-22]: [two_year_recid] = True
else if [not_age_23-25]: [two_year_recid] = False
else if [priors_>3__AND__juvenile-crimes_=0]: [two_year_recid] = True
else [two_year_recid] = False"
2,0.5474158368895211,0.008009038788783895,0.4555841631104789,0.5383886255924171,0.010381925766541067,1785819,822305,3,"RULELIST:
 if [age_21-22__AND__juvenile-crimes_>0]: [two_year_recid] = True
else if [priors_1__AND__charge_degree_Felony]: [two_year_recid] = False
else if [age_18-20]: [two_year_recid] = True
else [two_year_recid] = False"
3,0.5401753970135104,0.002084521777559356,0.46282460298648964,0.5502846299810247,0.010448666523176886,1905224,852733,3,"RULELIST:
 if [age_26-45__AND__juvenile-felonies_=0]: [two_year_recid] = False
else if [priors_2-3__AND__charge_degree_Misdemeanor]: [two_year_recid] = True
else if [priors_>3__AND__juvenile-misdemeanors_>0]: [two_year_recid] = True
else [two_year_recid] = False"
4,0.5565299834083907,0.008035811430436635,0.44647001659160934,0.5189753320683111,0.027306616961789376,1494562,729760,3,"RULELIST:
 if [age_23-25__AND__juvenile-crimes_=0]: [two_year_recid] = False
else if [priors_>3__AND__gender_Female]: [two_year_recid] = True
else if [juvenile-felonies_=0__AND__age_18-20]: [two_year_recid] = True
else [two_year_recid] = False"
Average,0.5471267565016396,0.004707397510027067,0.4558732434983604,0.5437098123150805,0.017565336188819725,,,,
