Fold#,Training accuracy,Training Unfairness,Training objective function,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,RL length,RL
0,0.5248933143669986,0.0,0.4751066856330014,0.5459715639810426,0.0,0,0,0,"RULELIST:
[two_year_recid] = False"
1,0.5272641062114747,0.0008103217685470065,0.4747358937885253,0.5469194312796208,0.009287925696594423,21679,14164,2,"RULELIST:
 if [gender_Male__AND__juvenile-felonies_=0]: [two_year_recid] = False
else if [priors_>3__AND__age_23-25]: [two_year_recid] = True
else [two_year_recid] = False"
2,0.5296348980559507,0.0,0.47036510194404935,0.5270142180094787,0.0,0,0,0,"RULELIST:
[two_year_recid] = False"
3,0.5280872244607727,0.0,0.4719127755392273,0.5332068311195446,0.0,0,0,0,"RULELIST:
[two_year_recid] = False"
4,0.5378051671012088,0.0,0.46219483289879115,0.49430740037950666,0.0,0,0,0,"RULELIST:
[two_year_recid] = False"
Average,0.5295369420392811,0.0001620643537094013,0.4708630579607188,0.5294838889538387,0.0018575851393188847,,,,
