Fold#,Training accuracy,Training Unfairness,Training objective function,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,RL length,RL
0,0.6448553816974869,0.07812668192294894,0.3591446183025131,0.6180094786729858,0.0323376134306782,4844822,2192195,4,"RULELIST:
 if [priors_>3__AND__juvenile-misdemeanors_=0]: [two_year_recid] = True
else if [juvenile-crimes_>0]: [two_year_recid] = True
else if [not_priors_2-3]: [two_year_recid] = False
else if [age_26-45__AND__juvenile-felonies_=0]: [two_year_recid] = False
else [two_year_recid] = True"
1,0.6545756282598388,0.07433709546385603,0.34942437174016117,0.6616113744075829,0.1774720487875708,1853985,725942,4,"RULELIST:
 if [juvenile-felonies_=0__AND__age_18-20]: [two_year_recid] = True
else if [juvenile-misdemeanors_=0__AND__priors_0]: [two_year_recid] = False
else if [priors_1__AND__juvenile-crimes_=0]: [two_year_recid] = False
else if [priors_2-3__AND__age_26-45]: [two_year_recid] = False
else [two_year_recid] = True"
2,0.6453295400663822,0.089399273567212,0.3586704599336178,0.6445497630331753,0.025310057929318452,3684342,1662991,4,"RULELIST:
 if [priors_>3__AND__gender_Male]: [two_year_recid] = True
else if [juvenile-misdemeanors_=0__AND__age_26-45]: [two_year_recid] = False
else if [priors_2-3]: [two_year_recid] = True
else if [juvenile-felonies_=0__AND__juvenile-crimes_=0]: [two_year_recid] = False
else [two_year_recid] = True"
3,0.6447025361460061,0.08158134320862859,0.35929746385399386,0.6375711574952562,0.11604289101969276,2901292,1283294,4,"RULELIST:
 if [priors_>3__AND__charge_degree_Felony]: [two_year_recid] = True
else if [juvenile-crimes_>0]: [two_year_recid] = True
else if [gender_Male__AND__age_18-20]: [two_year_recid] = True
else if [priors_>3__AND__gender_Female]: [two_year_recid] = True
else [two_year_recid] = False"
4,0.6537094098127518,0.08061265744537707,0.3502905901872482,0.627134724857685,0.15302023557837507,3759993,1547321,4,"RULELIST:
 if [priors_>3__AND__age_26-45]: [two_year_recid] = True
else if [juvenile-crimes_>0]: [two_year_recid] = True
else if [gender_Male__AND__age_18-20]: [two_year_recid] = True
else if [priors_>3__AND__age_23-25]: [two_year_recid] = True
else [two_year_recid] = False"
Average,0.6486344991964932,0.08081141032160452,0.3553655008035068,0.637775299693337,0.10083656934912706,,,,
