Fold#,Training accuracy,Training Unfairness,Training objective function,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,RL length,RL
0,0.7909188073563558,0.006561756561756615,0.21208119264364422,0.7958431603773585,0.015491699775170176,423114,209790,3,"RULELIST:
 if [education_hs_grad__AND__capitalGain_-inf_to_5095.5]: [income:>50K] = False
else if [hoursPerWeek_40.5_to_inf__AND__workclass_selfEmployed]: [income:>50K] = True
else if [capitalGain_7073.5_to_inf]: [income:>50K] = True
else [income:>50K] = False"
1,0.7784985073526702,0.009615384615384581,0.22450149264732977,0.7760908018867925,0.006993006993006978,1097610,462779,3,"RULELIST:
 if [not_age_35.5_to_61.5]: [income:>50K] = False
else if [education_hs_grad__AND__hoursPerWeek_34.5_to_40.5]: [income:>50K] = False
else if [capitalGain_7073.5_to_inf]: [income:>50K] = True
else [income:>50K] = False"
2,0.8045625414608978,0.02083999573606221,0.19943745853910222,0.8064278342916114,0.04984177215189878,6530408,2321485,4,"RULELIST:
 if [capitalGain_7073.5_to_inf]: [income:>50K] = True
else if [workclass_private__AND__hoursPerWeek_34.5_to_40.5]: [income:>50K] = False
else if [occupation_other__AND__hoursPerWeek_-inf_to_34.5]: [income:>50K] = False
else if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True
else [income:>50K] = False"
3,0.8053364782192084,0.006105006105006083,0.1986635217807916,0.8102609464838567,0.07575757575757569,3706987,1369031,4,"RULELIST:
 if [capitalGain_-inf_to_5095.5__AND__capitalLoss_-inf_to_1534.0]: [income:>50K] = False
else if [occupation_blueCollar__AND__hoursPerWeek_34.5_to_40.5]: [income:>50K] = True
else if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True
else if [capitalGain_7073.5_to_inf]: [income:>50K] = True
else [income:>50K] = False"
4,0.8071054765239183,0.009045280744568451,0.19689452347608172,0.8031844316674038,0.058861301369863006,3387551,1347128,4,"RULELIST:
 if [capitalGain_-inf_to_5095.5__AND__capitalLoss_-inf_to_1534.0]: [income:>50K] = False
else if [capitalLoss_1881.5_to_1978.5]: [income:>50K] = True
else if [occupation_blueCollar__AND__hoursPerWeek_34.5_to_40.5]: [income:>50K] = True
else if [capitalGain_7073.5_to_inf]: [income:>50K] = True
else [income:>50K] = False"
Average,0.7972843621826101,0.010433484752555589,0.2063156378173899,0.7983614349414047,0.04138907120950293,,,,
