Fold#,Training accuracy,Training Unfairness,Training objective function,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,RL length,RL
0,0.5279753437648175,0.0020968614718614997,0.47402465623518253,0.5497630331753555,0.012209370253534302,23325,14740,2,"RULELIST:
 if [juvenile-misdemeanors_=0__AND__charge_degree_Felony]: [two_year_recid] = False
else if [juvenile-misdemeanors_=0__AND__age_18-20]: [two_year_recid] = True
else [two_year_recid] = False"
1,0.5272641062114747,0.0008103217685470065,0.4747358937885253,0.5469194312796208,0.009287925696594423,21679,14164,2,"RULELIST:
 if [gender_Male__AND__juvenile-felonies_=0]: [two_year_recid] = False
else if [priors_>3__AND__age_23-25]: [two_year_recid] = True
else [two_year_recid] = False"
2,0.5341394025604552,0.0005212030701507997,0.4688605974395448,0.5260663507109005,0.00014344629729245995,2058767,890402,3,"RULELIST:
 if [priors_0__AND__age_21-22]: [two_year_recid] = False
else if [charge_degree_Felony__AND__juvenile-crimes_=0]: [two_year_recid] = False
else if [charge_degree_Felony__AND__age_21-22]: [two_year_recid] = True
else [two_year_recid] = False"
3,0.5280872244607727,0.0,0.4719127755392273,0.5332068311195446,0.0,0,0,0,"RULELIST:
[two_year_recid] = False"
4,0.5378051671012088,0.0,0.46219483289879115,0.49430740037950666,0.0,0,0,0,"RULELIST:
[two_year_recid] = False"
Average,0.5310542488197458,0.0006856772621118612,0.4703457511802542,0.5300526093329856,0.004328148449484237,,,,
