Fold#,Training accuracy,Training Unfairness,Training objective function,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,RL length,RL
0,0.8865209471766848,0.0,0.11347905282331516,0.8905889496053431,0.0,0,0,0,"RULELIST:
[subscribed] = False"
1,0.8880388585306618,0.0,0.11196114146933822,0.8845173041894353,0.0,0,0,0,"RULELIST:
[subscribed] = False"
2,0.8904371584699453,0.004847314317349749,0.11256284153005469,0.8956891317547055,0.005478899078086602,1023273,404022,3,"RULELIST:
 if [not_education_university.degree]: [subscribed] = False
else if [not_euribor3m_very_low]: [subscribed] = False
else if [poutcome_failure]: [subscribed] = False
else [subscribed] = True"
3,0.8934122647237401,0.004237783493102665,0.10958773527625987,0.8876745598057073,0.02107081000523625,1830365,521202,3,"RULELIST:
 if [not_duration_high]: [subscribed] = False
else if [education_basic.4y]: [subscribed] = False
else if [poutcome_failure]: [subscribed] = False
else [subscribed] = True"
4,0.8873406193078324,0.0,0.11265938069216763,0.8873102610807528,0.0,0,0,0,"RULELIST:
[subscribed] = False"
Average,0.8891499696417731,0.0018170195620904827,0.11205003035822711,0.8891560412871888,0.0053099418166645705,,,,
