Fold#,Training accuracy,Training Unfairness,Training objective function,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,RL length,RL
0,0.6503082029397819,0.12685335497835498,0.35369179706021814,0.6208530805687204,0.09194999415819605,1650193,632471,4,"RULELIST:
 if [priors_2-3__AND__juvenile-felonies_=0]: [two_year_recid] = True
else if [priors_>3]: [two_year_recid] = True
else if [gender_Male__AND__age_18-20]: [two_year_recid] = True
else if [priors_0__AND__juvenile-crimes_>0]: [two_year_recid] = True
else [two_year_recid] = False"
1,0.6552868658131816,0.11719095946143387,0.3487131341868184,0.6426540284360189,0.22189148637529643,4590765,1729676,4,"RULELIST:
 if [priors_>3]: [two_year_recid] = True
else if [age_26-45__AND__charge_degree_Misdemeanor]: [two_year_recid] = False
else if [age_>45__AND__charge_degree_Felony]: [two_year_recid] = False
else if [priors_2-3__AND__juvenile-felonies_=0]: [two_year_recid] = True
else [two_year_recid] = False"
2,0.6474632527264106,0.12856687564647018,0.3565367472735894,0.6502369668246446,0.19085529854760624,3404716,1489361,4,"RULELIST:
 if [juvenile-crimes_>0]: [two_year_recid] = True
else if [age_>45__AND__charge_degree_Misdemeanor]: [two_year_recid] = False
else if [priors_>3__AND__juvenile-felonies_=0]: [two_year_recid] = True
else if [juvenile-felonies_=0__AND__age_18-20]: [two_year_recid] = True
else [two_year_recid] = False"
3,0.6544204787864423,0.12349748707461211,0.34957952121355773,0.6489563567362429,0.19668538556362142,1444953,533566,4,"RULELIST:
 if [priors_>3]: [two_year_recid] = True
else if [age_18-20]: [two_year_recid] = True
else if [gender_Male__AND__age_26-45]: [two_year_recid] = False
else if [priors_2-3__AND__juvenile-felonies_=0]: [two_year_recid] = True
else [two_year_recid] = False"
4,0.6340365015406494,0.11049629295739627,0.3689634984593506,0.618595825426945,0.08165579372475928,239878,132590,3,"RULELIST:
 if [age_26-45__AND__charge_degree_Misdemeanor]: [two_year_recid] = False
else if [juvenile-crimes_=0__AND__priors_0]: [two_year_recid] = False
else if [priors_1]: [two_year_recid] = False
else [two_year_recid] = True"
Average,0.6483030603612933,0.12132099402365348,0.3554969396387068,0.6362592515985143,0.1566075916738959,,,,
