Fold#,Training accuracy,Training Unfairness,Training objective function,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,RL length,RL
0,0.9013964784456587,0.050434033459690525,0.10260352155434127,0.9051608986035216,0.05442357218603242,7595667,1398623,4,"RULELIST:
 if [duration_low]: [subscribed] = False
else if [duration_very_low]: [subscribed] = False
else if [month_mar]: [subscribed] = True
else if [poutcome_success]: [subscribed] = True
else [subscribed] = False"
1,0.9004553734061931,0.04175194155342532,0.10254462659380692,0.9013964784456587,0.03025269515128674,25718,9464,3,"RULELIST:
 if [pdays_very_low__AND__poutcome_failure]: [subscribed] = False
else if [duration_low]: [subscribed] = False
else if [duration_very_low]: [subscribed] = False
else [subscribed] = True"
2,0.9008803885853066,0.052842834822325574,0.10311961141469339,0.9057680631451124,0.06033167029196139,2106576,487299,4,"RULELIST:
 if [not_euribor3m_very_low]: [subscribed] = False
else if [poutcome_success]: [subscribed] = True
else if [job_retired]: [subscribed] = False
else if [duration_very_high]: [subscribed] = True
else [subscribed] = False"
3,0.9040376442015786,0.051010638040949935,0.09996235579842139,0.8945962355798421,0.05213632776329903,1220588,261510,4,"RULELIST:
 if [duration_very_low]: [subscribed] = False
else if [duration_low]: [subscribed] = False
else if [not_poutcome_failure]: [subscribed] = True
else if [month_mar]: [subscribed] = True
else [subscribed] = False"
4,0.9025500910746812,0.051155637629787365,0.1014499089253188,0.9005464480874317,0.05154192514692591,1248537,274548,4,"RULELIST:
 if [duration_very_low]: [subscribed] = False
else if [duration_low]: [subscribed] = False
else if [poutcome_success]: [subscribed] = True
else if [not_month_mar]: [subscribed] = False
else [subscribed] = True"
Average,0.9018639951426837,0.049439017101235744,0.10193600485731635,0.9014936247723133,0.049737238107901094,,,,
