Fold#,Training accuracy,Training Unfairness,Training objective function,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,RL length,RL
0,0.8033183258295814,0.0019065814713865106,0.1996816741704186,0.8079359786595531,0.006129987666345087,52770,34230,3,"RULELIST:
 if [PAY_0_Pay_duly__AND__PAY_2_Pay_duly]: [default_payment_next_month] = False
else if [PAY_5_Pay_delay>=1]: [default_payment_next_month] = True
else if [PAY_AMT1_middle]: [default_payment_next_month] = True
else [default_payment_next_month] = False"
1,0.8039101254741756,0.0020509837003422834,0.20008987452582438,0.8024012006003002,0.0036030708133802346,3724469,1315292,4,"RULELIST:
 if [PAY_4_Pay_duly__AND__PAY_5_Pay_duly]: [default_payment_next_month] = False
else if [PAY_0_Pay_duly__AND__PAY_2_Pay_duly]: [default_payment_next_month] = False
else if [not_MARRIAGE_Single]: [default_payment_next_month] = True
else if [PAY_6_Pay_duly]: [default_payment_next_month] = False
else [default_payment_next_month] = True"
2,0.8038684397015299,0.002314491247770299,0.19913156029847012,0.8057362014340503,0.004442616474624718,57950,39099,3,"RULELIST:
 if [PAY_0_Pay_duly__AND__PAY_2_Pay_duly]: [default_payment_next_month] = False
else if [PAY_5_Pay_delay>=1]: [default_payment_next_month] = True
else if [PAY_AMT1_middle]: [default_payment_next_month] = True
else [default_payment_next_month] = False"
3,0.8056609279252991,0.002239724924521083,0.19733907207470092,0.7980656995164249,0.010590417560285104,49708,28475,3,"RULELIST:
 if [PAY_0_Pay_duly]: [default_payment_next_month] = False
else if [PAY_6_Pay_delay>=1]: [default_payment_next_month] = True
else if [not_PAY_AMT1_middle]: [default_payment_next_month] = False
else [default_payment_next_month] = True"
4,0.8015757222060111,0.0022675607209104304,0.20142427779398886,0.7952309488077371,0.0037737541473173916,1847301,601823,3,"RULELIST:
 if [PAY_3_Pay_duly__AND__PAY_5_Pay_duly]: [default_payment_next_month] = False
else if [BILL_AMT6_middle]: [default_payment_next_month] = False
else if [PAY_0_Pay_duly]: [default_payment_next_month] = False
else [default_payment_next_month] = True"
Average,0.8036667082273194,0.0021558684129861214,0.1995332917726806,0.8018740058036131,0.005707969332390507,,,,
