Fold#,Training accuracy,Training Unfairness(3),Training objective function,Training Sample-Robustness,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,Average length,RL
0,0.7852259463064866,0.0007628798518049523,0.21777405369351344,0.22168623036929838,0.7897632544181393,0.004093437989038627,547233,312930,3,"RULELIST:
 if [PAY_0_Pay_duly__AND__PAY_2_Pay_duly]: (default_payment:yes) = False
else if [not_PAY_AMT1_high]: (default_payment:yes) = False
else if [PAY_4_Pay_duly__AND__PAY_6_Pay_duly]: (default_payment:yes) = False
else (default_payment:yes) = True"
1,0.785234899328859,0.0011171834850820803,0.21776510067114097,0.22128731443271343,0.7893946973486743,0.00026633979277689533,670072,365734,3,"RULELIST:
 if [PAY_0_Pay_duly]: (default_payment:yes) = False
else if [not_PAY_AMT1_high]: (default_payment:yes) = False
else if [PAY_4_Pay_duly__AND__PAY_5_Pay_duly]: (default_payment:yes) = False
else (default_payment:yes) = True"
2,0.7819000375171954,7.571468841658258e-06,0.2210999624828046,0.33152989072209127,0.784058696014674,0.0008093990436668394,1091952,563736,3,"RULELIST:
 if [not_PAY_AMT1_very_low]: (default_payment:yes) = False
else if [not_BILL_AMT2_low]: (default_payment:yes) = False
else if [PAY_6_Pay_duly]: (default_payment:yes) = False
else (default_payment:yes) = True"
3,0.7841927550127141,8.188717609415022e-05,0.21880724498728588,0.32129501015065715,0.7748874437218609,0.0022088110184043832,2396756,954509,3,"RULELIST:
 if [not_PAY_AMT1_very_low]: (default_payment:yes) = False
else if [not_BILL_AMT5_low]: (default_payment:yes) = False
else if [PAY_4_Pay_delay>=1]: (default_payment:yes) = True
else (default_payment:yes) = False"
4,0.7838592688315478,0.00041590094633038024,0.21914073116845223,0.30249224515991013,0.7783891945972986,0.0036633865119439822,2413774,957488,3,"RULELIST:
 if [not_MARRIAGE_Married]: (default_payment:yes) = False
else if [not_PAY_AMT1_high]: (default_payment:yes) = False
else if [PAY_2_Pay_delay>=1]: (default_payment:yes) = True
else (default_payment:yes) = False"
Average,0.7840825813993606,0.00047708458563064425,0.21891741860063943,0.2796581381669341,0.7832986572201294,0.002208274871166146,630879.4,3.0,
