Fold#,Training accuracy,Training Unfairness(1),Training objective function,Training Sample-Robustness,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,Average length,RL
0,0.790144842074227,0.012042031961153221,0.21285515792577303,0.0010688091991302104,0.7928950471698113,0.023372718267654857,275079,140024,3,"RULELIST:
 if [education_hs_grad__AND__hoursPerWeek_40.5_to_inf]: (income > 50K) = False
else if [age_35.5_to_61.5__AND__occupation_professional]: (income > 50K) = True
else if [capitalGain_-inf_to_5095.5]: (income > 50K) = False
else (income > 50K) = True"
1,0.7910662293148565,0.013591318947193023,0.21193377068514352,0.0005159768547525154,0.7934846698113207,0.027131418037170577,278999,141581,3,"RULELIST:
 if [age_35.5_to_61.5__AND__occupation_professional]: (income > 50K) = True
else if [occupation_blueCollar__AND__hoursPerWeek_40.5_to_inf]: (income > 50K) = False
else if [capitalGain_7073.5_to_inf]: (income > 50K) = True
else (income > 50K) = False"
2,0.7828186039655045,0.013297156960444367,0.2201813960344955,0.0006265202329181101,0.787999410290432,0.0018503254890746695,288276,147324,3,"RULELIST:
 if [age_35.5_to_61.5__AND__occupation_professional]: (income > 50K) = True
else if [capitalLoss_-inf_to_1534.0__AND__education_bachelors]: (income > 50K) = False
else if [capitalGain_7073.5_to_inf]: (income > 50K) = True
else (income > 50K) = False"
3,0.7838136655119039,0.010300853361771944,0.2191863344880961,0.0016952900420137097,0.7823971693940734,0.009257571588035085,277114,141344,3,"RULELIST:
 if [age_35.5_to_61.5__AND__occupation_professional]: (income > 50K) = True
else if [age_35.5_to_61.5__AND__hoursPerWeek_40.5_to_inf]: (income > 50K) = False
else if [capitalGain_-inf_to_5095.5]: (income > 50K) = False
else (income > 50K) = True"
4,0.7845138940075183,0.011664776021703377,0.21848610599248175,0.001216186334488096,0.774141235441545,0.0045696915876920485,273346,140610,3,"RULELIST:
 if [age_35.5_to_61.5__AND__occupation_professional]: (income > 50K) = True
else if [age_35.5_to_61.5__AND__hoursPerWeek_40.5_to_inf]: (income > 50K) = False
else if [capitalGain_7073.5_to_inf]: (income > 50K) = True
else (income > 50K) = False"
Average,0.786471446974802,0.012179227450453186,0.216528553025198,0.0010245565326605283,0.7861835064214365,0.013236344993925448,142176.6,3.0,
