Fold#,Training accuracy,Training Unfairness(1),Training objective function,Training Sample-Robustness,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,Average length,RL
0,0.555239449976292,0.002341106109249258,0.44776055002370796,0.010905642484589853,0.5412322274881517,0.0035667600373482933,1255931,652227,3,"RULELIST:
 if [juvenile-crimes_=0__AND__gender_Female]: (recidivism:yes) = False
else if [age_26-45__AND__juvenile-crimes_=0]: (recidivism:yes) = False
else if [age_23-25__AND__priors_0]: (recidivism:yes) = False
else (recidivism:yes) = True"
1,0.5329540066382171,0.0022577478911786717,0.4690459933617829,0.10502607871028924,0.5526066350710901,0.006577440965528449,22541,14405,2,"RULELIST:
 if [charge_degree_Felony__AND__juvenile-crimes_=0]: (recidivism:yes) = False
else if [not_age_18-20]: (recidivism:yes) = False
else (recidivism:yes) = True"
2,0.5628259838786155,0.0017793544063610667,0.4401740161213845,0.006638217164532954,0.557345971563981,0.030072179158453283,680015,378063,3,"RULELIST:
 if [juvenile-felonies_=0__AND__juvenile-crimes_>0]: (recidivism:yes) = True
else if [age_26-45__AND__charge_degree_Misdemeanor]: (recidivism:yes) = False
else if [priors_2-3__AND__juvenile-misdemeanors_=0]: (recidivism:yes) = True
else (recidivism:yes) = False"
3,0.558663190329462,0.001668616300807113,0.444336809670538,0.009243896657975823,0.5815939278937381,0.03450320087153014,1537668,740434,3,"RULELIST:
 if [priors_2-3]: (recidivism:yes) = True
else if [priors_>3__AND__gender_Female]: (recidivism:yes) = True
else if [juvenile-felonies_=0__AND__juvenile-crimes_>0]: (recidivism:yes) = True
else (recidivism:yes) = False"
4,0.5674330410049775,0.00264575123066349,0.4355669589950225,0.009243896657975823,0.547438330170778,0.0381974167284902,1982768,838301,3,"RULELIST:
 if [priors_1__AND__charge_degree_Felony]: (recidivism:yes) = False
else if [age_26-45]: (recidivism:yes) = False
else if [juvenile-crimes_=0__AND__priors_0]: (recidivism:yes) = False
else (recidivism:yes) = True"
Average,0.5554231343655129,0.0021385151876519197,0.44737686563448714,0.028211546335072734,0.5560434184375478,0.022583399552270074,524686.0,2.8,
