Fold#,Training accuracy,Training Unfairness(3),Training objective function,Training Sample-Robustness,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,Average length,RL
0,0.8079460435631888,0.00033942342218056714,0.19605395643681123,0.3302321026344139,0.8058667452830188,0.0008655395914508488,4815299,1554515,4,"RULELIST:
 if [education_hs_grad__AND__age_-inf_to_21.5]: (income > 50K) = False
else if [capitalGain_-inf_to_5095.5__AND__occupation_other]: (income > 50K) = False
else if [capitalGain_7073.5_to_inf]: (income > 50K) = True
else if [capitalLoss_1881.5_to_1978.5]: (income > 50K) = True
else (income > 50K) = False"
1,0.8091622747208197,4.759459463861914e-05,0.1948377252791803,0.30851011709372395,0.8092570754716981,0.002383939875920277,4210761,1206414,4,"RULELIST:
 if [age_-inf_to_21.5__AND__capitalLoss_-inf_to_1534.0]: (income > 50K) = False
else if [capitalGain_7073.5_to_inf]: (income > 50K) = True
else if [occupation_other__AND__hoursPerWeek_-inf_to_34.5]: (income > 50K) = False
else if [capitalLoss_1881.5_to_1978.5]: (income > 50K) = True
else (income > 50K) = False"
2,0.8017984816097885,0.00029445921579413826,0.2012015183902115,0.34908020603384843,0.8045112781954887,0.0005920892987139044,79023,42043,3,"RULELIST:
 if [capitalGain_7073.5_to_inf]: (income > 50K) = True
else if [not_hoursPerWeek_40.5_to_inf]: (income > 50K) = False
else if [capitalLoss_1881.5_to_1978.5]: (income > 50K) = True
else (income > 50K) = False"
3,0.8063683938969558,0.0007545659627533606,0.1966316061030442,0.33979772191673213,0.8120300751879699,0.0006738394959661278,103619,50046,3,"RULELIST:
 if [capitalGain_7073.5_to_inf]: (income > 50K) = True
else if [occupation_other]: (income > 50K) = False
else if [capitalLoss_1881.5_to_1978.5]: (income > 50K) = True
else (income > 50K) = False"
4,0.8098326822436795,0.0007614773512514784,0.19316731775632046,0.32504649114221396,0.8055432699395547,0.0011808778814161446,119319,61578,3,"RULELIST:
 if [capitalLoss_1881.5_to_1978.5]: (income > 50K) = True
else if [occupation_other__AND__hoursPerWeek_-inf_to_34.5]: (income > 50K) = False
else if [capitalGain_7073.5_to_inf]: (income > 50K) = True
else (income > 50K) = False"
Average,0.8070215752068866,0.00043950410932363273,0.19637842479311354,0.3305333277641865,0.807441688815546,0.0011392572286934605,582919.2,3.4,
