Fold#,Training accuracy,Training Unfairness(1),Training objective function,Training Sample-Robustness,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,Average length,RL
0,0.8041103885275971,0.014131157545990883,0.19888961147240292,0.003918625979656495,0.8019339779926642,0.011665993097072988,609943,224693,3,"RULELIST:
 if [PAY_0_Pay_duly]: (default_payment:yes) = False
else if [PAY_AMT3_high]: (default_payment:yes) = True
else if [PAY_4_Pay_duly__AND__PAY_5_Pay_duly]: (default_payment:yes) = False
else (default_payment:yes) = True"
1,0.8052440701988411,0.013340478943053444,0.19875592980115886,0.004335320355162783,0.8035684508921127,0.011203137808064978,6352976,2163113,4,"RULELIST:
 if [PAY_0_Pay_duly__AND__PAY_2_Pay_duly]: (default_payment:yes) = False
else if [PAY_6_Pay_delay>=1]: (default_payment:yes) = True
else if [not_MARRIAGE_Married]: (default_payment:yes) = False
else if [PAY_4_Pay_duly__AND__PAY_5_Pay_duly]: (default_payment:yes) = False
else (default_payment:yes) = True"
2,0.8037016966109467,0.009159022489949015,0.2002983033890533,0.0071282671224311145,0.8005669501417375,0.01656250072230453,6532016,2325384,4,"RULELIST:
 if [PAY_0_Pay_duly__AND__PAY_2_Pay_duly]: (default_payment:yes) = False
else if [PAY_5_Pay_delay>=1]: (default_payment:yes) = True
else if [BILL_AMT2_very_low]: (default_payment:yes) = False
else if [AGE_very_low]: (default_payment:yes) = True
else (default_payment:yes) = False"
3,0.8078702738755262,0.015018215639948401,0.19612972612447377,0.0032514902663720873,0.8035684508921127,0.02350712947452592,4121168,1230373,4,"RULELIST:
 if [BILL_AMT1_very_low]: (default_payment:yes) = False
else if [PAY_0_Pay_duly__AND__PAY_2_Pay_duly]: (default_payment:yes) = False
else if [PAY_3_Pay_duly__AND__PAY_2_Pay_duly]: (default_payment:yes) = True
else if [PAY_6_Pay_duly]: (default_payment:yes) = False
else (default_payment:yes) = True"
4,0.806494643378215,0.013049629153175549,0.19750535662178503,0.0046688065363291505,0.8052359513089878,0.018104149573657732,3608864,1188369,4,"RULELIST:
 if [PAY_0_Pay_duly__AND__PAY_2_Pay_duly]: (default_payment:yes) = False
else if [BILL_AMT1_very_low]: (default_payment:yes) = False
else if [AGE_very_low]: (default_payment:yes) = True
else if [PAY_4_Pay_duly__AND__PAY_6_Pay_duly]: (default_payment:yes) = False
else (default_payment:yes) = True"
Average,0.8054842145182253,0.012939700754423458,0.19831578548177478,0.004660502051990326,0.8029747562455232,0.01620858213512523,1426386.4,3.8,
