Fold#,Training accuracy,Training Unfairness(4),Training objective function,Training Sample-Robustness,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,Average length,RL
0,0.7573803117974423,0.0002628171433699533,0.24461968820255775,0.018626136194307853,0.7535377358490566,0.014297463149237633,16827,11217,2,"RULELIST:
 if [not_occupation_professional]: (income > 50K) = False
else if [capitalLoss_1881.5_to_1978.5]: (income > 50K) = True
else (income > 50K) = False"
1,0.8166807946043563,0.010823665116241,0.18731920539564373,0.0020827134781315083,0.8141214622641509,0.00028151251041597103,1117095,300579,4,"RULELIST:
 if [not_capitalGain_-inf_to_5095.5]: (income > 50K) = True
else if [education_hs_grad__AND__hoursPerWeek_40.5_to_inf]: (income > 50K) = False
else if [occupation_whiteCollar__AND__hoursPerWeek_40.5_to_inf]: (income > 50K) = True
else if [not_capitalLoss_1881.5_to_1978.5]: (income > 50K) = False
else (income > 50K) = True"
2,0.8157293432593794,0.005652511628896351,0.1882706567406206,0.005334123573862795,0.8173374613003096,0.05975382422281916,1142177,320570,4,"RULELIST:
 if [not_capitalGain_-inf_to_5095.5]: (income > 50K) = True
else if [capitalLoss_1881.5_to_1978.5]: (income > 50K) = True
else if [not_occupation_whiteCollar]: (income > 50K) = False
else if [education_masters_doctorate]: (income > 50K) = True
else (income > 50K) = False"
3,0.8157293432593794,0.0011762454723316385,0.1882706567406206,0.0042861365651788354,0.8216128556685832,0.04521320430411335,1131706,316534,4,"RULELIST:
 if [capitalGain_7073.5_to_inf]: (income > 50K) = True
else if [capitalLoss_1881.5_to_1978.5]: (income > 50K) = True
else if [education_hs_grad__AND__capitalLoss_-inf_to_1534.0]: (income > 50K) = False
else if [age_35.5_to_61.5__AND__occupation_whiteCollar]: (income > 50K) = True
else (income > 50K) = False"
4,0.8169823837252156,0.010592996558874468,0.18701761627478442,0.002238805970149254,0.8173374613003096,0.02064127472584787,1154572,321813,4,"RULELIST:
 if [not_capitalGain_-inf_to_5095.5]: (income > 50K) = True
else if [education_hs_grad__AND__occupation_whiteCollar]: (income > 50K) = False
else if [age_35.5_to_61.5__AND__occupation_whiteCollar]: (income > 50K) = True
else if [capitalLoss_1881.5_to_1978.5]: (income > 50K) = True
else (income > 50K) = False"
Average,0.8045004353291546,0.005701647183942682,0.1990995646708454,0.00651358315632605,0.804789395276482,0.028037455782486797,254142.6,3.6,
