Fold#,Training accuracy,Training Unfairness(1),Training objective function,Training Sample-Robustness,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,Average length,RL
0,0.8022344505586126,0.010173588305385214,0.20176554944138736,0.003168250792062698,0.8054351450483495,0.014106637679947603,5786612,2263537,4,"RULELIST:
 if [PAY_0_Pay_duly__AND__PAY_2_Pay_duly]: (default_payment:yes) = False
else if [PAY_5_Pay_delay>=1]: (default_payment:yes) = True
else if [EDUCATION_Graduate_school]: (default_payment:yes) = False
else if [PAY_AMT6_middle]: (default_payment:yes) = True
else (default_payment:yes) = False"
1,0.802826295385385,0.011821775665150108,0.20117370461461503,0.0021259744049355956,0.800733700183425,0.009690282743690395,6562151,2485228,4,"RULELIST:
 if [PAY_0_Pay_duly__AND__PAY_2_Pay_duly]: (default_payment:yes) = False
else if [PAY_6_Pay_delay>=1]: (default_payment:yes) = True
else if [BILL_AMT2_very_low]: (default_payment:yes) = False
else if [AGE_very_low]: (default_payment:yes) = True
else (default_payment:yes) = False"
2,0.8022426945683439,0.008297401668846002,0.20175730543165615,0.004418691900454375,0.7977321994330498,0.017421523057116375,6141831,2392005,4,"RULELIST:
 if [PAY_0_Pay_duly]: (default_payment:yes) = False
else if [PAY_5_Pay_delay>=1]: (default_payment:yes) = True
else if [BILL_AMT3_low]: (default_payment:yes) = False
else if [AGE_very_low]: (default_payment:yes) = True
else (default_payment:yes) = False"
3,0.8054108132894243,0.011899545231601916,0.19858918671057568,0.0020426028596440037,0.8040687010171752,0.0175723015683093,3161758,1009852,4,"RULELIST:
 if [PAY_0_Pay_duly__AND__PAY_2_Pay_duly]: (default_payment:yes) = False
else if [not_PAY_6_Pay_duly]: (default_payment:yes) = True
else if [PAY_4_Pay_duly__AND__PAY_5_Pay_duly]: (default_payment:yes) = False
else if [MARRIAGE_Single]: (default_payment:yes) = False
else (default_payment:yes) = True"
4,0.7955729709450164,0.002589437497501637,0.20742702905498356,0.007461753303597482,0.7888944472236118,0.006848685899911694,899302,394872,3,"RULELIST:
 if [PAY_0_Pay_duly__AND__PAY_2_Pay_duly]: (default_payment:yes) = False
else if [MARRIAGE_Single]: (default_payment:yes) = False
else if [BILL_AMT1_very_low]: (default_payment:yes) = False
else (default_payment:yes) = True"
Average,0.8016574449493564,0.008956349673696976,0.20214255505064357,0.003843454652138831,0.7993728385811224,0.013127886189795074,1709098.8,3.8,
