Fold#,Training accuracy,Training Unfairness(5),Training objective function,Training Sample-Robustness,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,Average length,RL
0,0.5718349928876245,0.007995129870129847,0.4311650071123755,0.005988023952095809,0.5469194312796208,0.10497721696459861,1242927,609842,3,"RULELIST:
 if [priors_>3__AND__gender_Female]: (recidivism:yes) = True
else if [priors_2-3__AND__juvenile-felonies_=0]: (recidivism:yes) = True
else if [juvenile-crimes_=0]: (recidivism:yes) = False
else (recidivism:yes) = True"
1,0.5730203888098625,0.003982123700433576,0.4299796111901375,0.008577878103837472,0.5857819905213271,0.07595985091991875,1053752,537849,3,"RULELIST:
 if [priors_>3__AND__gender_Female]: (recidivism:yes) = True
else if [priors_2-3__AND__charge_degree_Felony]: (recidivism:yes) = True
else if [juvenile-crimes_=0]: (recidivism:yes) = False
else (recidivism:yes) = True"
2,0.5597439544807966,0.007834153873413241,0.4432560455192034,0.008952551477170993,0.5620853080568721,0.05028316680274225,753272,415998,3,"RULELIST:
 if [priors_>3__AND__gender_Female]: (recidivism:yes) = True
else if [juvenile-misdemeanors_=0__AND__juvenile-crimes_>0]: (recidivism:yes) = True
else if [priors_2-3__AND__gender_Male]: (recidivism:yes) = True
else (recidivism:yes) = False"
3,0.566721972031287,0.009933613910947381,0.43627802796871296,0.0058348294434470375,0.5825426944971537,0.055491419962040434,661548,363876,3,"RULELIST:
 if [priors_>3__AND__juvenile-crimes_>0]: (recidivism:yes) = True
else if [priors_>3__AND__gender_Female]: (recidivism:yes) = True
else if [priors_2-3__AND__charge_degree_Felony]: (recidivism:yes) = True
else (recidivism:yes) = False"
4,0.5776250296278739,0.004581506324351919,0.4253749703721261,0.008205128205128205,0.5426944971537002,0.011680646163404806,507259,286859,3,"RULELIST:
 if [juvenile-felonies_=0__AND__juvenile-crimes_>0]: (recidivism:yes) = True
else if [priors_>3__AND__gender_Female]: (recidivism:yes) = True
else if [priors_2-3__AND__charge_degree_Felony]: (recidivism:yes) = True
else (recidivism:yes) = False"
Average,0.5697892675674889,0.006865305535855193,0.4332107324325111,0.0075116822363359035,0.5640047843017347,0.05967846016254097,442884.8,3.0,
