Fold#,Training accuracy,Training Unfairness(5),Training objective function,Training Sample-Robustness,Test accuracy,Test unfairness,#Nodes explored for best solution,Cache size for best solution,Average length,RL
0,0.8903157255616272,0.0049280534197143335,0.11268427443837281,0.004280363830925628,0.8941105039465695,0.014202379136800336,305840,148200,3,"RULELIST:
 if [job_retired]: (subscribe:yes) = False
else if [not_cons_conf_idx_very_low]: (subscribe:yes) = False
else if [poutcome_success]: (subscribe:yes) = True
else (subscribe:yes) = False"
1,0.8926836672738312,0.003525481488380916,0.11031633272616881,0.004067245119305857,0.8910746812386157,0.014554175701425809,1301507,418657,3,"RULELIST:
 if [day_of_week_thu]: (subscribe:yes) = False
else if [marital_single]: (subscribe:yes) = False
else if [poutcome_success]: (subscribe:yes) = True
else (subscribe:yes) = False"
2,0.891712204007286,0.004085039277610725,0.11128779599271399,0.004536962903656259,0.896782027929569,0.008884928157199181,598810,252048,3,"RULELIST:
 if [job_technician]: (subscribe:yes) = False
else if [marital_single]: (subscribe:yes) = False
else if [poutcome_failure]: (subscribe:yes) = False
else (subscribe:yes) = True"
3,0.8885245901639345,0.0,0.11147540983606552,1.0,0.8825743776563448,0.0,0,0,0,"RULELIST:
(subscribe:yes) = False"
4,0.8921372191863995,0.005151636564343792,0.11086278081360046,0.004042037186742118,0.8918032786885246,0.00825418362731789,841522,321393,3,"RULELIST:
 if [job_retired]: (subscribe:yes) = False
else if [not_duration_very_high]: (subscribe:yes) = False
else if [poutcome_success]: (subscribe:yes) = True
else (subscribe:yes) = False"
Average,0.8910746812386157,0.003538042150009953,0.11132531876138432,0.20338532180812594,0.8912689738919248,0.009179133324548644,228059.6,2.4,
